#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  336  R1F1                    12738.414     8060.000    10000.000    -2573.043        0.000        0.000      509.677
  338  R1F2                    12813.414     8060.000    10000.000    -2498.043        0.000        0.000      513.364
  340  R1F3                    12929.474     8060.000    10000.000    -2381.983        0.000        0.000      517.052
  342  R1F4                    13004.474     8060.000    10000.000    -2306.983        0.000        0.000      520.739
  344  R1F5                    13120.534     8060.000    10000.000    -2190.923        0.000        0.000      524.427
  346  R1F6                    13195.534     8060.000    10000.000    -2115.923        0.000        0.000      528.114
  348  R1F7                    13311.594     8060.000    10000.000    -1999.863        0.000        0.000      531.802
  350  R1F8                    13386.594     8060.000    10000.000    -1924.863        0.000        0.000      535.489
  360  R1G1                    13698.414     8060.000    10000.000    -1613.043        0.000        0.000      539.177
  362  R1G2                    13773.414     8060.000    10000.000    -1538.043        0.000        0.000      542.864
  364  R1G3                    13889.474     8060.000    10000.000    -1421.983        0.000        0.000      546.552
  366  R1G4                    13964.474     8060.000    10000.000    -1346.983        0.000        0.000      550.239
  368  R1G5                    14080.534     8060.000    10000.000    -1230.923        0.000        0.000      553.927
  370  R1G6                    14155.534     8060.000    10000.000    -1155.923        0.000        0.000      557.614
  372  R1G7                    14271.594     8060.000    10000.000    -1039.863        0.000        0.000      561.302
  374  R1G8                    14346.594     8060.000    10000.000     -964.863        0.000        0.000      564.989
  384  R1H1                    14658.414     8060.000    10000.000     -653.043        0.000        0.000      568.677
  386  R1H2                    14733.414     8060.000    10000.000     -578.043        0.000        0.000      572.364
  388  R1H3                    14849.474     8060.000    10000.000     -461.983        0.000        0.000      576.052
  390  R1H4                    14924.474     8060.000    10000.000     -386.983        0.000        0.000      579.739
  392  R1H5                    15040.534     8060.000    10000.000     -270.923        0.000        0.000      583.427
  394  R1H6                    15115.534     8060.000    10000.000     -195.923        0.000        0.000      587.114
  396  R1H7                    15231.594     8060.000    10000.000      -79.863        0.000        0.000      590.802
  398  R1H8                    15306.594     8060.000    10000.000       -4.863        0.000        0.000      594.489
