sample_id,plate,slot,material,region,environment,is_outlier,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_apr_raw_mWC,c2_apr_temp_C,c2_apr_corrected_mWC,c2_apr_date,c2_jun_raw_mWC,c2_jun_temp_C,c2_jun_corrected_mWC,c2_jun_date,c2_apr_vs_baseline_pct,c2_jun_vs_baseline_pct,c2_jun_vs_apr_pct,c2_jun_vs_c1end_pct
Y-12-2,12,2,SmCo35,Labyrinth,tunnel,False,1.0808,1.0813,0.0524,1.0760,27.1000,1.0791,2026-04-20,1.0773,29.2493,1.0813,2026-06-02,-0.1573,0.0463,0.2039,0.0000
Y-12-3,12,3,N42EH,Labyrinth,tunnel,False,1.1833,1.1812,-0.1805,1.1708,27.1000,1.1791,2026-04-20,1.1704,29.4003,1.1815,2026-06-02,-0.3549,-0.1516,0.2041,0.0260
Y-12-4,12,4,SmCo33H,Labyrinth,tunnel,False,1.0388,1.0382,-0.0537,1.0331,27.0000,1.0360,2026-04-20,1.0357,29.4423,1.0396,2026-06-02,-0.2695,0.0796,0.3501,0.1374
Y-13-1,13,1,SmCo33H,SW Arc,tunnel,False,1.0415,1.0374,-0.3970,1.0344,27.6000,1.0376,2026-04-20,1.0373,28.2593,1.0407,2026-06-02,-0.3745,-0.0731,0.3025,0.3218
Y-13-2,13,2,N52SH,SW Arc,tunnel,False,1.3125,1.3035,-0.6844,1.2939,27.9000,1.3053,2026-04-20,1.2944,28.4293,1.3065,2026-06-02,-0.5486,-0.4560,0.0930,0.2313
Y-13-3,13,3,SmCo35,SW Arc,tunnel,False,1.0819,1.0764,-0.5006,1.0740,27.9000,1.0774,2026-04-20,1.0739,28.9543,1.0778,2026-06-02,-0.4159,-0.3826,0.0334,0.1264
Y-13-4,13,4,N42EH,SW Arc,tunnel,False,1.1745,1.1654,-0.7704,1.1591,28.0000,1.1685,2026-04-20,1.1596,29.2040,1.1704,2026-06-02,-0.5109,-0.3515,0.1602,0.4266
Y-15-1,15,1,N42EH,SE Arc,tunnel,False,1.1821,1.1790,-0.2615,1.1693,25.8000,1.1762,2026-04-20,1.1671,27.6783,1.1761,2026-06-02,-0.4991,-0.5050,-0.0059,-0.2434
Y-15-2,15,2,SmCo33H,SE Arc,tunnel,False,1.0379,1.0390,0.1037,1.0344,25.9000,1.0369,2026-04-20,1.0337,28.2497,1.0371,2026-06-02,-0.0963,-0.0749,0.0214,-0.1807
Y-15-3,15,3,N52SH,SE Arc,tunnel,False,1.3108,1.3099,-0.0686,1.2973,26.4000,1.3065,2026-04-20,1.2960,27.7880,1.3072,2026-06-02,-0.3280,-0.2748,0.0535,-0.2062
Y-15-4,15,4,SmCo35,SE Arc,tunnel,False,1.0792,1.0787,-0.0523,1.0745,26.3000,1.0772,2026-04-20,1.0739,28.3757,1.0775,2026-06-02,-0.1853,-0.1566,0.0288,-0.1103
