plate,region,sub_location,line,cum_body_mrem,cum_photon_mrem,cum_beta_mrem,cum_neutron_mrem,cum_nt_mrem,cum_nf_mrem,is_lower_bound,n_saturated,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff
36,NW Arc,above MJC4A24,3,6371355.0,361079.0,726.0,9550.0,710.0,8840.0,True,6,-0.21663532441964195,-0.19623363305938296,0.23048472086817426,-0.06344649742249839,-0.20643447873951246,0.08351911172283794,-0.28995359046235036
25,NW Arc,above MJC4A24,4,6528261.0,519119.0,422.0,8720.0,590.0,8130.0,True,6,-0.29481610303371086,-0.15173540321592918,0.08459600211528653,-0.16621982155220358,-0.22327575312482,-0.04081190971845852,-0.1824638434063615
34,NW Arc,above MJC4A24,5,6569021.0,559645.0,216.0,9160.0,590.0,8570.0,True,6,-0.20821168366057552,nan,-0.048149651309261576,-0.019632513402952148,-0.20821168366057552,-0.03389108235610686,-0.17432060130446866
13,SW Arc,above MJC4A14,1,3022399.0,2998359.0,0.0,24040.0,2030.0,22010.0,False,0,-0.7703655454816166,-0.6843631717120687,-0.3970312318648173,-0.5005533446573351,-0.7273643585968427,-0.4487922882610762,-0.2785720703357665
32,SW Arc,above MJC4A14,2,6190535.0,1160210.0,195.0,30130.0,2350.0,27780.0,True,5,-0.4550375782488958,-0.4158555714775641,-0.004998306761462845,-0.2235163404239808,-0.4354465748632299,-0.11425732359272182,-0.32118925127050807
19,SW Arc,above MJC4A14,3,6657281.0,646143.0,3258.0,7880.0,540.0,7340.0,True,6,-0.42360761847578976,-0.31370725179326325,-0.07684231502234468,-0.09272990581122419,-0.36865743513452653,-0.08478611041678444,-0.2838713247177421
10,SW Arc,above MJC4A14,4,6566550.0,522488.0,30432.0,13630.0,970.0,12660.0,True,6,-0.11019083129063457,-0.034981052852724716,0.02781658198990944,0.015731164139670104,-0.07258594207167965,0.02177387306478977,-0.09435981513646942
11,SW Arc,above MJC4A14,5,6544923.0,513957.0,9766.0,21200.0,1700.0,19500.0,True,6,-0.02400660268857696,0.013422520033774395,0.05144657658730731,-0.02463312897090323,-0.005292041327401283,0.013406723808202039,-0.018698765135603323
12,Labyrinth,North Access Labyrinth,0,59681.0,31251.0,0.0,28430.0,2120.0,26310.0,False,0,-0.18049488588720677,-0.05065527324186273,-0.05374455115984596,0.05243855094807885,-0.11557507956453475,-0.0006530001058835527,-0.1149220794586512
17,North Linac,NL NDX @ Girder 5,0,13000114.0,114.0,0.0,0.0,0.0,0.0,True,13,-0.16512627453109457,0.20943493492521023,0.038723304734014946,0.01889642004153792,0.022154330197057828,0.028809862387776435,-0.006655532190718606
4,North Linac,NL Inj/Ret Crossover (0L05 NDX),0,913801.0,675746.0,183885.0,54170.0,3460.0,50710.0,False,0,-0.37421259136131974,0.0026772185305934887,-0.036791179589814975,0.4006457314261037,-0.18576768641536312,0.18192727591814437,-0.3676949623335075
16,North Linac,NL NDX @ Girder 23,0,13143598.0,50709.0,64919.0,27970.0,1940.0,26030.0,True,13,-0.10020479469898558,-0.043659472184128106,0.08132390385105241,0.07836128898713875,-0.07193213344155684,0.07984259641909558,-0.15177472986065244
22,North Linac,NL NDX @ Girder 26,0,13078025.0,43623.0,24302.0,10100.0,610.0,9490.0,True,13,-0.07424455272931775,-0.008687499584377693,-0.013634457594804479,0.23481253261501256,-0.04146602615684772,0.11058903751010404,-0.15205506366695176
20,Labyrinth,South Access Labyrinth,0,126601.0,107311.0,0.0,19290.0,1860.0,17430.0,False,0,-0.24922642107791798,-0.16067236484422137,0.061934892588994025,-0.12022535717179078,-0.20494939296106968,-0.029145232291398378,-0.1758041606696713
24,South Linac,SL NDX @ Girder 4,0,14019799.0,39.0,0.0,19760.0,1370.0,18390.0,True,14,-0.10219551232592741,-0.0007696192641047043,-0.003514143006748343,0.09799912572533226,-0.05148256579501606,0.047242491359291955,-0.09872505715430802
5,South Linac,SL NDX @ Girder 6,0,8468608.0,1090596.0,1322472.0,55540.0,3780.0,51760.0,True,6,-0.050624129287152646,-0.051393201542228664,0.38845282228652556,0.0299217933063487,-0.05100866541469065,0.20918730779643713,-0.26019597321112775
1,South Linac,SL NDX @ Girder 23,0,11149034.0,117599.0,29605.0,1830.0,120.0,1710.0,True,11,-0.040055973052619875,-0.1848095219466795,0.2173452233511996,0.007416592133811843,-0.11243274749964968,0.11238090774250573,-0.2248136552421554
30,South Linac,SL NDX @ Girder 25,0,11181769.0,51023.0,128896.0,1850.0,130.0,1720.0,True,11,-0.3302063064373124,-0.2671571020465515,-0.23382688429827342,-0.08752334961056932,-0.29868170424193197,-0.16067511695442138,-0.13800658728751058
