sample_id,plate_number,slot_number,material,sample_type,environment
An-19-1-2,19,1,NdFeB,A,tunnel
Hn-19-2,19,2,NdFeB,H,tunnel
An-19-2-1,19,2,NdFeB,A,tunnel
An-19-2-2,19,2,NdFeB,A,tunnel
Hn-19-3,19,3,NdFeB,H,tunnel
An-19-3-1,19,3,NdFeB,A,tunnel
An-19-3-2,19,3,NdFeB,A,tunnel
Hn-19-4,19,4,NdFeB,H,tunnel
An-19-4-1,19,4,NdFeB,A,tunnel
An-19-4-2,19,4,NdFeB,A,tunnel
Hn-20-1,20,1,NdFeB,H,tunnel
An-20-1-1,20,1,NdFeB,A,tunnel
An-20-1-2,20,1,NdFeB,A,tunnel
Hn-20-2,20,2,NdFeB,H,tunnel
An-20-2-1,20,2,NdFeB,A,tunnel
An-20-2-2,20,2,NdFeB,A,tunnel
Hn-20-3,20,3,NdFeB,H,tunnel
An-20-3-1,20,3,NdFeB,A,tunnel
An-20-3-2,20,3,NdFeB,A,tunnel
Hn-20-4,20,4,NdFeB,H,tunnel
An-20-4-1,20,4,NdFeB,A,tunnel
An-20-4-2,20,4,NdFeB,A,tunnel
Hn-37-1,37,1,NdFeB,H,tunnel
An-37-1-1,37,1,NdFeB,A,tunnel
An-37-1-2,37,1,NdFeB,A,tunnel
Hn-37-2,37,2,NdFeB,H,tunnel
An-37-2-1,37,2,NdFeB,A,tunnel
An-37-2-2,37,2,NdFeB,A,tunnel
Hn-37-3,37,3,NdFeB,H,tunnel
An-37-3-1,37,3,NdFeB,A,tunnel
An-37-3-2,37,3,NdFeB,A,tunnel
Hn-37-4,37,4,NdFeB,H,tunnel
An-37-4-1,37,4,NdFeB,A,tunnel
An-37-4-2,37,4,NdFeB,A,tunnel
Hn-39-1,39,1,NdFeB,H,tunnel
An-39-1-1,39,1,NdFeB,A,tunnel
An-39-1-2,39,1,NdFeB,A,tunnel
Hn-39-2,39,2,NdFeB,H,tunnel
An-39-2-1,39,2,NdFeB,A,tunnel
An-39-2-2,39,2,NdFeB,A,tunnel
Hn-39-3,39,3,NdFeB,H,tunnel
An-39-3-1,39,3,NdFeB,A,tunnel
An-39-3-2,39,3,NdFeB,A,tunnel
Hn-39-4,39,4,NdFeB,H,tunnel
An-39-4-1,39,4,NdFeB,A,tunnel
An-39-4-2,39,4,NdFeB,A,tunnel
Hs-1-1,1,1,SmCo,H,tunnel
As-1-1-1,1,1,SmCo,A,tunnel
As-1-1-2,1,1,SmCo,A,tunnel
Hs-1-2,1,2,SmCo,H,tunnel
As-1-2-1,1,2,SmCo,A,tunnel
As-1-2-2,1,2,SmCo,A,tunnel
Hs-1-3,1,3,SmCo,H,tunnel
As-1-3-1,1,3,SmCo,A,tunnel
As-1-3-2,1,3,SmCo,A,tunnel
Hs-1-4,1,4,SmCo,H,tunnel
As-1-4-1,1,4,SmCo,A,tunnel
As-1-4-2,1,4,SmCo,A,tunnel
Hs-2-1,2,1,SmCo,H,tunnel
As-2-1-1,2,1,SmCo,A,tunnel
As-2-1-2,2,1,SmCo,A,tunnel
Hs-2-2,2,2,SmCo,H,tunnel
As-2-2-1,2,2,SmCo,A,tunnel
As-2-2-2,2,2,SmCo,A,tunnel
Hs-2-3,2,3,SmCo,H,tunnel
As-2-3-1,2,3,SmCo,A,tunnel
As-2-3-2,2,3,SmCo,A,tunnel
Hs-2-4,2,4,SmCo,H,tunnel
As-2-4-1,2,4,SmCo,A,tunnel
As-2-4-2,2,4,SmCo,A,tunnel
Hs-3-1,3,1,SmCo,H,tunnel
As-3-1-1,3,1,SmCo,A,tunnel
As-3-1-2,3,1,SmCo,A,tunnel
Hs-3-2,3,2,SmCo,H,tunnel
As-3-2-1,3,2,SmCo,A,tunnel
As-3-2-2,3,2,SmCo,A,tunnel
Hs-3-3,3,3,SmCo,H,tunnel
As-3-3-1,3,3,SmCo,A,tunnel
As-3-3-2,3,3,SmCo,A,tunnel
Hs-3-4,3,4,SmCo,H,tunnel
As-3-4-1,3,4,SmCo,A,tunnel
As-3-4-2,3,4,SmCo,A,tunnel
Hs-4-1,4,1,SmCo,H,tunnel
As-4-1-1,4,1,SmCo,A,tunnel
As-4-1-2,4,1,SmCo,A,tunnel
Hs-4-2,4,2,SmCo,H,tunnel
As-4-2-1,4,2,SmCo,A,tunnel
As-4-2-2,4,2,SmCo,A,tunnel
Hs-4-3,4,3,SmCo,H,tunnel
As-4-3-1,4,3,SmCo,A,tunnel
As-4-3-2,4,3,SmCo,A,tunnel
Hs-4-4,4,4,SmCo,H,tunnel
As-4-4-1,4,4,SmCo,A,tunnel
As-4-4-2,4,4,SmCo,A,tunnel
Hs-5-1,5,1,SmCo,H,tunnel
As-5-1-1,5,1,SmCo,A,tunnel
As-5-1-2,5,1,SmCo,A,tunnel
Hs-5-2,5,2,SmCo,H,tunnel
As-5-2-1,5,2,SmCo,A,tunnel
As-5-2-2,5,2,SmCo,A,tunnel
Hs-5-3,5,3,SmCo,H,tunnel
As-5-3-1,5,3,SmCo,A,tunnel
As-5-3-2,5,3,SmCo,A,tunnel
Hs-5-4,5,4,SmCo,H,tunnel
As-5-4-1,5,4,SmCo,A,tunnel
As-5-4-2,5,4,SmCo,A,tunnel
Hs-6-1,6,1,SmCo,H,tunnel
As-6-1-1,6,1,SmCo,A,tunnel
As-6-1-2,6,1,SmCo,A,tunnel
Hs-6-2,6,2,SmCo,H,tunnel
As-6-2-1,6,2,SmCo,A,tunnel
As-6-2-2,6,2,SmCo,A,tunnel
Hs-6-3,6,3,SmCo,H,tunnel
As-6-3-1,6,3,SmCo,A,tunnel
As-6-3-2,6,3,SmCo,A,tunnel
Hs-6-4,6,4,SmCo,H,tunnel
As-6-4-1,6,4,SmCo,A,tunnel
As-6-4-2,6,4,SmCo,A,tunnel
Hs-7-1,7,1,SmCo,H,tunnel
As-7-1-1,7,1,SmCo,A,tunnel
As-7-1-2,7,1,SmCo,A,tunnel
Hs-7-2,7,2,SmCo,H,tunnel
As-7-2-1,7,2,SmCo,A,tunnel
As-7-2-2,7,2,SmCo,A,tunnel
Hs-7-3,7,3,SmCo,H,tunnel
As-7-3-1,7,3,SmCo,A,tunnel
As-7-3-2,7,3,SmCo,A,tunnel
Hs-7-4,7,4,SmCo,H,tunnel
As-7-4-1,7,4,SmCo,A,tunnel
As-7-4-2,7,4,SmCo,A,tunnel
Hs-10-1,10,1,SmCo,H,tunnel
As-10-1-1,10,1,SmCo,A,tunnel
As-10-1-2,10,1,SmCo,A,tunnel
Hs-10-2,10,2,SmCo,H,tunnel
As-10-2-1,10,2,SmCo,A,tunnel
As-10-2-2,10,2,SmCo,A,tunnel
Hs-10-3,10,3,SmCo,H,tunnel
As-10-3-1,10,3,SmCo,A,tunnel
As-10-3-2,10,3,SmCo,A,tunnel
Hs-10-4,10,4,SmCo,H,tunnel
As-10-4-1,10,4,SmCo,A,tunnel
As-10-4-2,10,4,SmCo,A,tunnel
Hs-12-1,12,1,SmCo,H,tunnel
As-12-1-1,12,1,SmCo,A,tunnel
As-12-1-2,12,1,SmCo,A,tunnel
Hs-12-2,12,2,SmCo,H,tunnel
As-12-2-1,12,2,SmCo,A,tunnel
As-12-2-2,12,2,SmCo,A,tunnel
Hs-12-3,12,3,SmCo,H,tunnel
As-12-3-1,12,3,SmCo,A,tunnel
As-12-3-2,12,3,SmCo,A,tunnel
Hs-12-4,12,4,SmCo,H,tunnel
As-12-4-1,12,4,SmCo,A,tunnel
As-12-4-2,12,4,SmCo,A,tunnel
Hs-13-1,13,1,SmCo,H,tunnel
As-13-1-1,13,1,SmCo,A,tunnel
As-13-1-2,13,1,SmCo,A,tunnel
Hs-13-2,13,2,SmCo,H,tunnel
As-13-2-1,13,2,SmCo,A,tunnel
As-13-2-2,13,2,SmCo,A,tunnel
Hs-13-3,13,3,SmCo,H,tunnel
As-13-3-1,13,3,SmCo,A,tunnel
As-13-3-2,13,3,SmCo,A,tunnel
Hs-13-4,13,4,SmCo,H,tunnel
As-13-4-1,13,4,SmCo,A,tunnel
As-13-4-2,13,4,SmCo,A,tunnel
Hs-14-1,14,1,SmCo,H,tunnel
As-14-1-1,14,1,SmCo,A,tunnel
As-14-1-2,14,1,SmCo,A,tunnel
Hs-14-2,14,2,SmCo,H,tunnel
As-14-2-1,14,2,SmCo,A,tunnel
As-14-2-2,14,2,SmCo,A,tunnel
Hs-14-3,14,3,SmCo,H,tunnel
As-14-3-1,14,3,SmCo,A,tunnel
As-14-3-2,14,3,SmCo,A,tunnel
Hs-14-4,14,4,SmCo,H,tunnel
As-14-4-1,14,4,SmCo,A,tunnel
As-14-4-2,14,4,SmCo,A,tunnel
Hs-15-1,15,1,SmCo,H,tunnel
As-15-1-1,15,1,SmCo,A,tunnel
As-15-1-2,15,1,SmCo,A,tunnel
Hs-15-2,15,2,SmCo,H,tunnel
As-15-2-1,15,2,SmCo,A,tunnel
As-15-2-2,15,2,SmCo,A,tunnel
