sample_id,sample_type,material,plate,slot,environment,region,config
An-8-2-1,A,NdFeB,8,2,tunnel,SE Arc,Gamma
An-8-2-2,A,NdFeB,8,2,tunnel,SE Arc,Gamma
Hn-8-3,H,NdFeB,8,3,tunnel,SE Arc,Beta
An-8-3-1,A,NdFeB,8,3,tunnel,SE Arc,Beta
An-8-3-2,A,NdFeB,8,3,tunnel,SE Arc,Beta
Hn-8-4,H,NdFeB,8,4,tunnel,SE Arc,Delta
An-8-4-1,A,NdFeB,8,4,tunnel,SE Arc,Delta
An-8-4-2,A,NdFeB,8,4,tunnel,SE Arc,Delta
Hn-9-1,H,NdFeB,9,1,tunnel,SE Arc,Delta
An-9-1-1,A,NdFeB,9,1,tunnel,SE Arc,Delta
An-9-1-2,A,NdFeB,9,1,tunnel,SE Arc,Delta
Hn-9-2,H,NdFeB,9,2,tunnel,SE Arc,Beta
An-9-2-1,A,NdFeB,9,2,tunnel,SE Arc,Beta
An-9-2-2,A,NdFeB,9,2,tunnel,SE Arc,Beta
Hn-9-3,H,NdFeB,9,3,tunnel,SE Arc,Gamma
An-9-3-1,A,NdFeB,9,3,tunnel,SE Arc,Gamma
An-9-3-2,A,NdFeB,9,3,tunnel,SE Arc,Gamma
Hn-9-4,H,NdFeB,9,4,tunnel,SE Arc,Alpha
An-9-4-1,A,NdFeB,9,4,tunnel,SE Arc,Alpha
An-9-4-2,A,NdFeB,9,4,tunnel,SE Arc,Alpha
Hn-10-1,H,NdFeB,10,1,tunnel,SE Arc,Gamma
An-10-1-1,A,NdFeB,10,1,tunnel,SE Arc,Gamma
An-10-1-2,A,NdFeB,10,1,tunnel,SE Arc,Gamma
Hn-10-2,H,NdFeB,10,2,tunnel,SE Arc,Beta
An-10-2-1,A,NdFeB,10,2,tunnel,SE Arc,Beta
An-10-2-2,A,NdFeB,10,2,tunnel,SE Arc,Beta
Hn-10-3,H,NdFeB,10,3,tunnel,SE Arc,Alpha
An-10-3-1,A,NdFeB,10,3,tunnel,SE Arc,Alpha
An-10-3-2,A,NdFeB,10,3,tunnel,SE Arc,Alpha
Hn-10-4,H,NdFeB,10,4,tunnel,SE Arc,Delta
An-10-4-1,A,NdFeB,10,4,tunnel,SE Arc,Delta
An-10-4-2,A,NdFeB,10,4,tunnel,SE Arc,Delta
Hn-11-1,H,NdFeB,11,1,tunnel,NW Arc,Beta
An-11-1-1,A,NdFeB,11,1,tunnel,NW Arc,Beta
An-11-1-2,A,NdFeB,11,1,tunnel,NW Arc,Beta
Hn-11-2,H,NdFeB,11,2,tunnel,NW Arc,Gamma
An-11-2-1,A,NdFeB,11,2,tunnel,NW Arc,Gamma
An-11-2-2,A,NdFeB,11,2,tunnel,NW Arc,Gamma
Hn-11-3,H,NdFeB,11,3,tunnel,NW Arc,Delta
An-11-3-1,A,NdFeB,11,3,tunnel,NW Arc,Delta
An-11-3-2,A,NdFeB,11,3,tunnel,NW Arc,Delta
Hn-11-4,H,NdFeB,11,4,tunnel,NW Arc,Alpha
An-11-4-1,A,NdFeB,11,4,tunnel,NW Arc,Alpha
An-11-4-2,A,NdFeB,11,4,tunnel,NW Arc,Alpha
Hn-12-1,H,NdFeB,12,1,tunnel,NW Arc,Alpha
An-12-1-1,A,NdFeB,12,1,tunnel,NW Arc,Alpha
An-12-1-2,A,NdFeB,12,1,tunnel,NW Arc,Alpha
Hn-12-2,H,NdFeB,12,2,tunnel,NW Arc,Gamma
An-12-2-1,A,NdFeB,12,2,tunnel,NW Arc,Gamma
An-12-2-2,A,NdFeB,12,2,tunnel,NW Arc,Gamma
Hn-12-3,H,NdFeB,12,3,tunnel,NW Arc,Delta
An-12-3-1,A,NdFeB,12,3,tunnel,NW Arc,Delta
An-12-3-2,A,NdFeB,12,3,tunnel,NW Arc,Delta
Hn-12-4,H,NdFeB,12,4,tunnel,NW Arc,Beta
An-12-4-1,A,NdFeB,12,4,tunnel,NW Arc,Beta
An-12-4-2,A,NdFeB,12,4,tunnel,NW Arc,Beta
Hn-15-1,H,NdFeB,15,1,tunnel,North Linac,Beta
An-15-1-1,A,NdFeB,15,1,tunnel,North Linac,Beta
An-15-1-2,A,NdFeB,15,1,tunnel,North Linac,Beta
Hn-15-2,H,NdFeB,15,2,tunnel,North Linac,Gamma
An-15-2-1,A,NdFeB,15,2,tunnel,North Linac,Gamma
An-15-2-2,A,NdFeB,15,2,tunnel,North Linac,Gamma
Hn-15-3,H,NdFeB,15,3,tunnel,North Linac,Alpha
An-15-3-1,A,NdFeB,15,3,tunnel,North Linac,Alpha
An-15-3-2,A,NdFeB,15,3,tunnel,North Linac,Alpha
Hn-15-4,H,NdFeB,15,4,tunnel,North Linac,Delta
An-15-4-1,A,NdFeB,15,4,tunnel,North Linac,Delta
An-15-4-2,A,NdFeB,15,4,tunnel,North Linac,Delta
Hn-16-1,H,NdFeB,16,1,tunnel,SE Arc,Alpha
An-16-1-1,A,NdFeB,16,1,tunnel,SE Arc,Alpha
An-16-1-2,A,NdFeB,16,1,tunnel,SE Arc,Alpha
Hn-16-2,H,NdFeB,16,2,tunnel,SE Arc,Beta
An-16-2-1,A,NdFeB,16,2,tunnel,SE Arc,Beta
An-16-2-2,A,NdFeB,16,2,tunnel,SE Arc,Beta
Hn-16-3,H,NdFeB,16,3,tunnel,SE Arc,Delta
An-16-3-1,A,NdFeB,16,3,tunnel,SE Arc,Delta
An-16-3-2,A,NdFeB,16,3,tunnel,SE Arc,Delta
Hn-16-4,H,NdFeB,16,4,tunnel,SE Arc,Gamma
An-16-4-1,A,NdFeB,16,4,tunnel,SE Arc,Gamma
An-16-4-2,A,NdFeB,16,4,tunnel,SE Arc,Gamma
Hn-17-1,H,NdFeB,17,1,tunnel,NW Arc,Delta
An-17-1-1,A,NdFeB,17,1,tunnel,NW Arc,Delta
An-17-1-2,A,NdFeB,17,1,tunnel,NW Arc,Delta
Hn-17-2,H,NdFeB,17,2,tunnel,NW Arc,Gamma
An-17-2-1,A,NdFeB,17,2,tunnel,NW Arc,Gamma
An-17-2-2,A,NdFeB,17,2,tunnel,NW Arc,Gamma
Hn-17-3,H,NdFeB,17,3,tunnel,NW Arc,Alpha
An-17-3-1,A,NdFeB,17,3,tunnel,NW Arc,Alpha
An-17-3-2,A,NdFeB,17,3,tunnel,NW Arc,Alpha
Hn-17-4,H,NdFeB,17,4,tunnel,NW Arc,Beta
An-17-4-1,A,NdFeB,17,4,tunnel,NW Arc,Beta
An-17-4-2,A,NdFeB,17,4,tunnel,NW Arc,Beta
Hn-18-1,H,NdFeB,18,1,tunnel,NW Arc,Gamma
An-18-1-1,A,NdFeB,18,1,tunnel,NW Arc,Gamma
An-18-1-2,A,NdFeB,18,1,tunnel,NW Arc,Gamma
Hn-18-2,H,NdFeB,18,2,tunnel,NW Arc,Delta
An-18-2-1,A,NdFeB,18,2,tunnel,NW Arc,Delta
An-18-2-2,A,NdFeB,18,2,tunnel,NW Arc,Delta
Hn-18-3,H,NdFeB,18,3,tunnel,NW Arc,Alpha
An-18-3-1,A,NdFeB,18,3,tunnel,NW Arc,Alpha
An-18-3-2,A,NdFeB,18,3,tunnel,NW Arc,Alpha
Hn-18-4,H,NdFeB,18,4,tunnel,NW Arc,Beta
An-18-4-1,A,NdFeB,18,4,tunnel,NW Arc,Beta
An-18-4-2,A,NdFeB,18,4,tunnel,NW Arc,Beta
Hn-19-1,H,NdFeB,19,1,tunnel,South Linac,Beta
An-19-1-1,A,NdFeB,19,1,tunnel,South Linac,Beta
An-19-1-2,A,NdFeB,19,1,tunnel,South Linac,Beta
Hn-19-2,H,NdFeB,19,2,tunnel,South Linac,Delta
An-19-2-1,A,NdFeB,19,2,tunnel,South Linac,Delta
An-19-2-2,A,NdFeB,19,2,tunnel,South Linac,Delta
Hn-19-3,H,NdFeB,19,3,tunnel,South Linac,Gamma
An-19-3-1,A,NdFeB,19,3,tunnel,South Linac,Gamma
An-19-3-2,A,NdFeB,19,3,tunnel,South Linac,Gamma
Hn-19-4,H,NdFeB,19,4,tunnel,South Linac,Alpha
An-19-4-1,A,NdFeB,19,4,tunnel,South Linac,Alpha
An-19-4-2,A,NdFeB,19,4,tunnel,South Linac,Alpha
Hn-20-1,H,NdFeB,20,1,tunnel,North Linac,Alpha
An-20-1-1,A,NdFeB,20,1,tunnel,North Linac,Alpha
