#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  166  R185                     6400.534     8060.000    10000.000    -8910.923        0.000        0.000      317.927
  167  D10006                   6425.534     8060.000    10000.000    -8885.923        0.000        0.000      317.927
  168  R186                     6475.534     8060.000    10000.000    -8835.923        0.000        0.000      321.614
  169  D10007                   6541.594     8060.000    10000.000    -8769.863        0.000        0.000      321.614
  170  R187                     6591.594     8060.000    10000.000    -8719.863        0.000        0.000      325.302
  171  D10006                   6616.594     8060.000    10000.000    -8694.863        0.000        0.000      325.302
  172  R188                     6666.594     8060.000    10000.000    -8644.863        0.000        0.000      328.989
  173  D10014                   6743.862     8060.000    10000.000    -8567.595        0.000        0.000      328.989
  174  MBT1L09H                 6743.862     8060.000    10000.000    -8567.595        0.000        0.000      328.989
  175  D10017                   6765.833     8060.000    10000.000    -8545.624        0.000        0.000      328.989
  176  MAT1L09V                 6765.833     8060.000    10000.000    -8545.624        0.000        0.000      328.989
  177  D10018                   6783.809     8060.000    10000.000    -8527.648        0.000        0.000      328.989
  178  IPM1L09                  6783.809     8060.000    10000.000    -8527.648        0.000        0.000      328.989
  179  D10016                   6785.504     8060.000    10000.000    -8525.953        0.000        0.000      328.989
  180  MQSnl                    6792.504     8060.000    10000.000    -8518.953        0.000        0.000      328.989
  181  D10010                   6802.504     8060.000    10000.000    -8508.953        0.000        0.000      328.989
  182  MQB1L09                  6817.504     8060.000    10000.000    -8493.953        0.000        0.000      328.989
  183  D10005                   6928.414     8060.000    10000.000    -8383.043        0.000        0.000      328.989
  184  R191                     6978.414     8060.000    10000.000    -8333.043        0.000        0.000      332.677
  185  D10006                   7003.414     8060.000    10000.000    -8308.043        0.000        0.000      332.677
  186  R192                     7053.414     8060.000    10000.000    -8258.043        0.000        0.000      336.364
  187  D10007                   7119.474     8060.000    10000.000    -8191.983        0.000        0.000      336.364
  188  R193                     7169.474     8060.000    10000.000    -8141.983        0.000        0.000      340.052
  189  D10006                   7194.474     8060.000    10000.000    -8116.983        0.000        0.000      340.052
  190  R194                     7244.474     8060.000    10000.000    -8066.983        0.000        0.000      343.739
  191  D10007                   7310.534     8060.000    10000.000    -8000.923        0.000        0.000      343.739
  192  R195                     7360.534     8060.000    10000.000    -7950.923        0.000        0.000      347.427
  193  D10006                   7385.534     8060.000    10000.000    -7925.923        0.000        0.000      347.427
  194  R196                     7435.534     8060.000    10000.000    -7875.923        0.000        0.000      351.114
  195  D10007                   7501.594     8060.000    10000.000    -7809.863        0.000        0.000      351.114
  196  R197                     7551.594     8060.000    10000.000    -7759.863        0.000        0.000      354.802
  197  D10006                   7576.594     8060.000    10000.000    -7734.863        0.000        0.000      354.802
  198  R198                     7626.594     8060.000    10000.000    -7684.863        0.000        0.000      358.489
  199  D10019                   7692.102     8060.000    10000.000    -7619.355        0.000        0.000      358.489
  200  ITV1L10                  7692.102     8060.000    10000.000    -7619.355        0.000        0.000      358.489
  201  D10020                   7703.862     8060.000    10000.000    -7607.595        0.000        0.000      358.489
  202  MAT1L10H                 7703.862     8060.000    10000.000    -7607.595        0.000        0.000      358.489
  203  D10015                   7743.809     8060.000    10000.000    -7567.648        0.000        0.000      358.489
  204  IPM1L10                  7743.809     8060.000    10000.000    -7567.648        0.000        0.000      358.489
  205  D10016                   7745.504     8060.000    10000.000    -7565.953        0.000        0.000      358.489
  206  MQSnl                    7752.504     8060.000    10000.000    -7558.953        0.000        0.000      358.489
  207  D10010                   7762.504     8060.000    10000.000    -7548.953        0.000        0.000      358.489
  208  MQB1L10                  7777.504     8060.000    10000.000    -7533.953        0.000        0.000      358.489
  209  D10005                   7888.414     8060.000    10000.000    -7423.043        0.000        0.000      358.489
  210  R1A1                     7938.414     8060.000    10000.000    -7373.043        0.000        0.000      362.177
  211  D10006                   7963.414     8060.000    10000.000    -7348.043        0.000        0.000      362.177
  212  R1A2                     8013.414     8060.000    10000.000    -7298.043        0.000        0.000      365.864
  213  D10007                   8079.474     8060.000    10000.000    -7231.983        0.000        0.000      365.864
  214  R1A3                     8129.474     8060.000    10000.000    -7181.983        0.000        0.000      369.552
  215  D10006                   8154.474     8060.000    10000.000    -7156.983        0.000        0.000      369.552
  216  R1A4                     8204.474     8060.000    10000.000    -7106.983        0.000        0.000      373.239
  217  D10007                   8270.534     8060.000    10000.000    -7040.923        0.000        0.000      373.239
  218  R1A5                     8320.534     8060.000    10000.000    -6990.923        0.000        0.000      376.927
  219  D10006                   8345.534     8060.000    10000.000    -6965.923        0.000        0.000      376.927
  220  R1A6                     8395.534     8060.000    10000.000    -6915.923        0.000        0.000      380.614
  221  D10007                   8461.594     8060.000    10000.000    -6849.863        0.000        0.000      380.614
  222  R1A7                     8511.594     8060.000    10000.000    -6799.863        0.000        0.000      384.302
  223  D10006                   8536.594     8060.000    10000.000    -6774.863        0.000        0.000      384.302
  224  R1A8                     8586.594     8060.000    10000.000    -6724.863        0.000        0.000      387.989
  225  D10014                   8663.862     8060.000    10000.000    -6647.595        0.000        0.000      387.989
  226  MBT1L11H                 8663.862     8060.000    10000.000    -6647.595        0.000        0.000      387.989
  227  D10017                   8685.833     8060.000    10000.000    -6625.624        0.000        0.000      387.989
  228  MAT1L11V                 8685.833     8060.000    10000.000    -6625.624        0.000        0.000      387.989
  229  D10018                   8703.809     8060.000    10000.000    -6607.648        0.000        0.000      387.989
  230  IPM1L11                  8703.809     8060.000    10000.000    -6607.648        0.000        0.000      387.989
  231  D10016                   8705.504     8060.000    10000.000    -6605.953        0.000        0.000      387.989
  232  MQSnl                    8712.504     8060.000    10000.000    -6598.953        0.000        0.000      387.989
  233  D10010                   8722.504     8060.000    10000.000    -6588.953        0.000        0.000      387.989
  234  MQB1L11                  8737.504     8060.000    10000.000    -6573.953        0.000        0.000      387.989
  235  D10005                   8848.414     8060.000    10000.000    -6463.043        0.000        0.000      387.989
  236  R1B1                     8898.414     8060.000    10000.000    -6413.043        0.000        0.000      391.677
  237  D10006                   8923.414     8060.000    10000.000    -6388.043        0.000        0.000      391.677
  238  R1B2                     8973.414     8060.000    10000.000    -6338.043        0.000        0.000      395.364
  239  D10007                   9039.474     8060.000    10000.000    -6271.983        0.000        0.000      395.364
  240  R1B3                     9089.474     8060.000    10000.000    -6221.983        0.000        0.000      399.052
  241  D10006                   9114.474     8060.000    10000.000    -6196.983        0.000        0.000      399.052
  242  R1B4                     9164.474     8060.000    10000.000    -6146.983        0.000        0.000      402.739
  243  D10007                   9230.534     8060.000    10000.000    -6080.923        0.000        0.000      402.739
  244  R1B5                     9280.534     8060.000    10000.000    -6030.923        0.000        0.000      406.427
  245  D10006                   9305.534     8060.000    10000.000    -6005.923        0.000        0.000      406.427
  246  R1B6                     9355.534     8060.000    10000.000    -5955.923        0.000        0.000      410.114
  247  D10007                   9421.594     8060.000    10000.000    -5889.863        0.000        0.000      410.114
  248  R1B7                     9471.594     8060.000    10000.000    -5839.863        0.000        0.000      413.802
  249  D10006                   9496.594     8060.000    10000.000    -5814.863        0.000        0.000      413.802
  250  R1B8                     9546.594     8060.000    10000.000    -5764.863        0.000        0.000      417.489
  251  D10014                   9623.862     8060.000    10000.000    -5687.595        0.000        0.000      417.489
  252  MAT1L12H                 9623.862     8060.000    10000.000    -5687.595        0.000        0.000      417.489
