plate,date,photon_cum_rem,sigma_p_rem,neutron_cum_rem,sigma_n_rem,days_since_install
Hn-15,2024-11-19,0.0,0.0,0.0,0.0,0.0
Hn-15,2025-05-07,767933.3300000001,117972.36439029142,51195.55533333334,7864.824292686094,117.0
Hn-15,2025-05-21,977991.1966666668,146425.8987221752,65199.41311111111,9761.726581478346,131.0
Hn-15,2025-06-11,1246852.4466666668,171704.04810434912,83123.49644444445,11446.93654028994,152.0
Hn-15,2025-06-17,1246852.4466666668,171704.04810434912,83123.49644444445,11446.93654028994,152.0
Hn-15,2025-07-17,1681369.6066666667,224632.04390156435,112091.30711111112,14975.469593437621,188.0
Hn-15,2025-08-27,2079276.6066666667,266574.28187237366,138618.44044444445,17771.618791491575,229.0
Hn-15,2025-10-21,2158961.9766666666,269750.8497418989,143930.79844444446,17983.38998279326,243.0
Hn-15,2026-01-12,2158962.0066666664,269750.8497418989,143930.79844444446,17983.38998279326,367.0
Hs-15,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-15,2025-05-07,338270.01,36471.72541875142,22570.944,2431.4483612500944,117.0
Hs-15,2025-05-21,429762.03,72068.1963985288,28670.412,4804.546426568586,131.0
Hs-15,2025-06-11,554118.0900000001,98081.12545490383,36960.816,6538.7416969935875,152.0
Hs-15,2025-06-17,554118.0900000001,98081.12545490383,36960.816,6538.7416969935875,152.0
Hs-15,2025-07-17,809980.8033333335,135167.25146240377,54018.33022222222,9011.150097493584,188.0
Hs-15,2025-08-27,1079348.3033333335,161393.7771234592,71976.16355555555,10759.585141563948,229.0
Hs-15,2025-10-21,1174942.0633333335,199582.33743529953,78349.08088888889,13305.489162353304,243.0
Hs-15,2026-01-12,1174942.1263333336,199582.33743529953,78349.08088888889,13305.489162353304,367.0
Hn-16,2024-11-14,0.0,0.0,0.0,0.0,0.0
Hn-16,2024-11-18,0.965,0.0,0.0,0.0,61.0
Hn-16,2025-04-23,269.17500000000007,0.0,5.49,0.0,103.0
Hn-16,2025-05-21,285.273,0.0,5.66,0.0,131.0
Hn-16,2025-07-30,1774.143,0.0,21.14,0.0,201.0
Hn-16,2025-08-27,1915.094,0.0,22.080000000000002,0.0,229.0
Hn-16,2025-10-21,1932.017,0.0,22.130000000000003,0.0,243.0
Hn-16,2026-01-08,1932.0320000000002,0.0,22.130000000000003,0.0,363.0
Hs-16,2024-11-18,0.0,0.0,0.0,0.0,0.0
Hs-16,2025-05-07,454.71000000000004,0.0,17.46,0.0,117.0
Hs-16,2025-05-21,1211.165,0.0,18.28,0.0,131.0
Hs-16,2025-06-11,4015.005,276.6399999999999,19.150000000000002,0.0,152.0
Hs-16,2025-07-17,11293.164999999999,1138.48,20.820000000000004,0.0,188.0
Hs-16,2025-08-27,32690.585,1315.8399999999988,21.630000000000003,0.0,229.0
Hs-16,2025-10-23,34190.585,1815.8399999999988,21.750000000000004,0.0,243.0
Hs-16,2026-01-08,34190.585,1815.8399999999988,21.750000000000004,0.0,363.0
Hn-17,2024-11-22,0.0,0.0,0.0,0.0,0.0
Hn-17,2025-05-07,296.274,0.0,9.52,0.0,117.0
Hn-17,2025-05-21,296.274,0.0,9.73,0.0,131.0
Hn-17,2025-06-17,5792.034000000001,542.6400000000003,10.31,0.0,152.0
Hn-17,2025-07-17,18251.874000000003,1649.2000000000003,14.059999999999999,0.0,188.0
Hn-17,2025-08-27,51203.764,8689.36407423151,18.07,0.0,229.0
Hn-17,2025-10-23,53699.044,9019.20407423151,18.84,0.0,243.0
Hn-17,2026-01-08,53699.044,9019.20407423151,18.84,0.0,363.0
Hs-17,2024-11-22,0.0,0.0,0.0,0.0,0.0
Hs-17,2025-05-07,441.72600000000006,0.0,3.28,0.0,117.0
Hs-17,2025-07-30,36402.026,1519.2799999999997,1945.02,58.015999999999984,201.0
Hs-17,2025-08-27,59040.966,2465.2,1945.02,58.015999999999984,229.0
Hs-17,2025-10-29,62483.206,3337.68,1945.02,58.015999999999984,243.0
Hs-17,2026-01-12,62483.217,3337.68,1945.02,58.015999999999984,367.0
Hn-18,2025-05-07,0.0,0.0,0.0,0.0,0.0
Hn-18,2025-05-21,441.33799999999997,0.0,9.85,0.0,131.0
Hn-18,2025-06-17,4096.378,212.80000000000018,10.26,0.0,152.0
Hn-18,2025-07-17,8542.226,563.9200000000001,12.260000000000002,0.0,188.0
Hn-18,2025-08-27,37883.876000000004,8676.890453003018,13.810000000000002,0.0,229.0
Hn-18,2025-10-23,39383.876000000004,9176.890453003018,13.910000000000002,0.0,243.0
Hn-18,2026-01-08,39383.882000000005,9176.890453003018,13.910000000000002,0.0,363.0
Hs-18,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hs-18,2025-04-23,574722.1529999999,95862.23925600087,38314.024666666664,6390.815950400058,103.0
Hs-18,2025-05-07,719407.1796666665,116836.80587617737,47959.693111111104,7789.120391745158,117.0
Hs-18,2025-07-30,1562615.2896666666,197957.34764917073,104173.5671111111,13197.156509944714,201.0
Hs-18,2025-08-27,1841747.0396666666,216489.33792780782,122782.35044444443,14432.622528520522,229.0
Hs-18,2025-10-21,1914886.0096666666,221741.8097426489,127658.28177777775,14782.787316176595,243.0
Hs-18,2026-01-12,1914886.0806666666,221741.8097426489,127658.28177777775,14782.787316176595,367.0
Hn-19,2024-11-12,158.659,0.0,0.05,0.0,17.0
Hn-19,2024-11-19,0.0,0.0,0.0,0.0,0.0
Hn-19,2025-04-23,2007.296,0.0,25.75,0.0,103.0
Hn-19,2025-05-07,2199.0480000000002,0.0,26.64,0.0,117.0
