plate,collection_date,badge_serial,landauer_part_nbr,landauer_report_date,begin_wear,end_wear,body_mrem,skin_mrem,eye_mrem,beta_mrem,neutron_mrem,nt_mrem,nf_mrem,photon_mrem,exceeded_1000rad,saturated_osl,neutron_exceeded,dose_status
Hn-19,2025-06-17,XA00221064Y,298,20250804,1/1/2025,6/30/2025,1006040,6040,6040,0,6040,410,5630,-1,True,False,False,EXCEEDED_PARTIAL
Hn-19,2025-07-02,XA02500355P,411,20250804,1/1/2025,6/30/2025,502126,403777,486148,155929,6810,440,6370,339387,False,False,False,MEASURED
Hn-19,2025-07-30,XA024894260,565,20250819,7/1/2025,12/31/2025,1005200,5200,5200,0,5200,430,4770,-1,True,False,False,EXCEEDED_PARTIAL
Hn-19,2025-08-27,XA000010438,510,20250915,7/1/2025,12/31/2025,1002720,2720,2720,0,2720,220,2500,-1,True,False,False,EXCEEDED_PARTIAL
Hn-19,2025-09-10,XA00746663A,222,20250930,7/1/2025,12/31/2025,114086,91658,110443,27934,1130,60,1070,85022,False,False,False,MEASURED
Hn-19,2026-01-12,XA01819758Z,183,20260320,7/1/2025,12/31/2025,21,21,21,0,0,0,0,21,False,False,False,MEASURED
Hn-20,2025-01-27,XA00600996A,980,20250227,1/1/2025,6/30/2025,83,85,83,0,0,0,0,83,False,False,False,MEASURED
Hn-20,2025-02-18,XA02909096C,919,20250306,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-03-05,XA00652942B,931,20250331,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-03-12,XA025853645,970,20250331,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-03-25,XA04105536G,984,20250331,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-04-08,XA00578631B,1155,20250502,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-04-23,XA009557742,1097,20250502,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-05-07,XA008693662,1336,20250516,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-05-21,XA00552521O,1278,20250624,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-06-11,XA007950948,1201,20250624,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-07-02,XA00603305U,292,20250804,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-07-17,XA02256237C,542,20250804,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-08-27,XA01124458F,291,20250915,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-20,2025-09-10,XA02186679R,235,20250930,7/1/2025,12/31/2025,1015640,15640,15640,0,15640,900,14740,-1,True,False,False,EXCEEDED_PARTIAL
