assembly_id,plate,slot,pair,material,region,baseline_mean,latest_mean,pct_change,n_baseline,temp_corrected,environment,is_outlier
As-18-3-2,18,3,2,SmCo,South Linac,1.3571,1.362,0.3621,1,True,tunnel,False
As-18-4-1,18,4,1,SmCo,South Linac,1.3605,1.3647,0.3062,1,True,tunnel,False
As-18-4-2,18,4,2,SmCo,South Linac,1.3607,1.3645,0.2802,1,True,tunnel,False
As-2-1-1,2,1,1,SmCo,SW Arc,1.3576,1.3557,-0.1401,1,True,tunnel,False
As-2-1-2,2,1,2,SmCo,SW Arc,1.3517,1.3523,0.0445,1,True,tunnel,False
As-2-2-1,2,2,1,SmCo,SW Arc,1.3633,1.3626,-0.0463,1,True,tunnel,False
As-2-2-2,2,2,2,SmCo,SW Arc,1.3667,1.366,-0.0463,1,True,tunnel,False
As-2-3-1,2,3,1,SmCo,SW Arc,1.3614,1.3618,0.0279,1,True,tunnel,False
As-2-3-2,2,3,2,SmCo,SW Arc,1.3635,1.3632,-0.0235,1,True,tunnel,False
As-2-4-1,2,4,1,SmCo,SW Arc,1.3646,1.3642,-0.0285,1,True,tunnel,False
As-20-1-1,20,1,1,SmCo,NE Arc,1.3489,1.3539,0.3659,1,True,tunnel,False
As-20-2-1,20,2,1,SmCo,NE Arc,1.3631,1.3655,0.1819,1,True,tunnel,False
As-20-2-2,20,2,2,SmCo,NE Arc,1.3588,1.3618,0.2236,1,True,tunnel,False
As-20-3-1,20,3,1,SmCo,NE Arc,1.3626,1.3645,0.136,1,True,tunnel,False
As-20-3-2,20,3,2,SmCo,NE Arc,1.3618,1.3644,0.1913,1,True,tunnel,False
As-20-4-1,20,4,1,SmCo,NE Arc,1.3548,1.3564,0.1179,1,True,tunnel,False
As-20-4-2,20,4,2,SmCo,NE Arc,1.353,1.3528,-0.0147,1,True,tunnel,False
As-3-1-1,3,1,1,SmCo,SW Arc,1.3607,1.3659,0.3872,1,True,tunnel,False
As-3-1-2,3,1,2,SmCo,SW Arc,1.3561,1.361,0.3566,1,True,tunnel,False
As-3-2-1,3,2,1,SmCo,SW Arc,1.3632,1.3646,0.0999,1,True,tunnel,False
