#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  166  D112                     5777.975     8060.000    10000.000    -9690.954        0.000        0.000    16229.489
  167  IPM1L08                  5777.975     8060.000    10000.000    -9690.954        0.000        0.000    16229.489
  168  D105                     5779.823     8060.000    10000.000    -9689.106        0.000        0.000    16229.489
  169  MQ1L08A                  5789.823     8060.000    10000.000    -9679.106        0.000        0.000    16229.489
  170  D106                     5799.823     8060.000    10000.000    -9669.106        0.000        0.000    16229.489
  171  MQ1L08B                  5819.823     8060.000    10000.000    -9649.106        0.000        0.000    16229.489
  172  D106                     5829.823     8060.000    10000.000    -9639.106        0.000        0.000    16229.489
  173  MQ1L08C                  5839.823     8060.000    10000.000    -9629.106        0.000        0.000    16229.489
  174  D105                     5841.670     8060.000    10000.000    -9627.259        0.000        0.000    16229.489
  175  D107                     5922.580     8060.000    10000.000    -9546.349        0.000        0.000    16229.489
  176  R181                     5972.580     8060.000    10000.000    -9496.349        0.000        0.000    16233.239
  177  D108                     5997.580     8060.000    10000.000    -9471.349        0.000        0.000    16233.239
  178  R182                     6047.580     8060.000    10000.000    -9421.349        0.000        0.000    16236.989
  179  D109                     6113.640     8060.000    10000.000    -9355.289        0.000        0.000    16236.989
  180  R183                     6163.640     8060.000    10000.000    -9305.289        0.000        0.000    16240.739
  181  D108                     6188.640     8060.000    10000.000    -9280.289        0.000        0.000    16240.739
  182  R184                     6238.640     8060.000    10000.000    -9230.289        0.000        0.000    16244.489
  183  D109                     6304.700     8060.000    10000.000    -9164.229        0.000        0.000    16244.489
  184  R185                     6354.700     8060.000    10000.000    -9114.229        0.000        0.000    16248.239
  185  D108                     6379.700     8060.000    10000.000    -9089.229        0.000        0.000    16248.239
  186  R186                     6429.700     8060.000    10000.000    -9039.229        0.000        0.000    16251.989
  187  D109                     6495.760     8060.000    10000.000    -8973.169        0.000        0.000    16251.989
  188  R187                     6545.760     8060.000    10000.000    -8923.169        0.000        0.000    16255.739
  189  D108                     6570.760     8060.000    10000.000    -8898.169        0.000        0.000    16255.739
  190  R188                     6620.760     8060.000    10000.000    -8848.169        0.000        0.000    16259.489
  191  D116                     6720.000     8060.000    10000.000    -8748.929        0.000        0.000    16259.489
  192  MAT1L09V                 6720.000     8060.000    10000.000    -8748.929        0.000        0.000    16259.489
  193  D104                     6737.976     8060.000    10000.000    -8730.953        0.000        0.000    16259.489
  194  IPM1L09                  6737.976     8060.000    10000.000    -8730.953        0.000        0.000    16259.489
  195  D105                     6739.823     8060.000    10000.000    -8729.106        0.000        0.000    16259.489
  196  MQ1L09A                  6749.823     8060.000    10000.000    -8719.106        0.000        0.000    16259.489
  197  D106                     6759.823     8060.000    10000.000    -8709.106        0.000        0.000    16259.489
  198  MQ1L09B                  6779.823     8060.000    10000.000    -8689.106        0.000        0.000    16259.489
  199  D106                     6789.823     8060.000    10000.000    -8679.106        0.000        0.000    16259.489
  200  MQ1L09C                  6799.823     8060.000    10000.000    -8669.106        0.000        0.000    16259.489
  201  D105                     6801.671     8060.000    10000.000    -8667.258        0.000        0.000    16259.489
  202  D107                     6882.581     8060.000    10000.000    -8586.348        0.000        0.000    16259.489
  203  R191                     6932.581     8060.000    10000.000    -8536.348        0.000        0.000    16263.239
  204  D108                     6957.581     8060.000    10000.000    -8511.348        0.000        0.000    16263.239
  205  R192                     7007.581     8060.000    10000.000    -8461.348        0.000        0.000    16266.989
  206  D109                     7073.641     8060.000    10000.000    -8395.288        0.000        0.000    16266.989
