pair_id,plate,slot,material,region,config,baseline_mean,latest_mean,pct_change,n_baseline,environment,is_outlier
Hs-4-4,4,4,SmCo,Labyrinth,Gamma,1.4445,1.457,0.8614,1,tunnel,False
Hs-5-1,5,1,SmCo,Labyrinth,Alpha,2.7317,2.7363,0.166,1,tunnel,False
Hs-5-2,5,2,SmCo,Labyrinth,Gamma,1.4258,1.4312,0.3805,1,tunnel,False
Hs-5-4,5,4,SmCo,Labyrinth,Delta,1.3621,1.3669,0.3564,1,tunnel,False
Hs-6-2,6,2,SmCo,NE Arc,Alpha,2.7322,2.7326,0.0143,1,tunnel,False
Hs-6-3,6,3,SmCo,NE Arc,Delta,1.3674,1.3666,-0.0592,1,tunnel,False
Hs-6-4,6,4,SmCo,NE Arc,Gamma,1.3804,1.3863,0.4259,1,tunnel,False
Hs-7-1,7,1,SmCo,North Linac,Gamma,1.3872,1.4036,1.1786,1,tunnel,False
Hs-7-2,7,2,SmCo,North Linac,Alpha,2.7407,2.7464,0.2091,1,tunnel,False
Hs-7-4,7,4,SmCo,North Linac,Delta,1.3625,1.3688,0.4631,1,tunnel,False
