# Universe 3. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
     21  MCB4A            Sbend                20.50000   3.00000    -0.64958   100.00000    20.48678     0.00003     0.00000     0.00000
     22  PO_13CB4A_XOFF   Patch                20.50000   0.00000    -0.85796   100.00000    20.48679     0.00003     0.00000     0.00000
     23  PO_13CB4A_XPITCH Patch                20.50000   0.00000    -0.85796   100.00000    20.48679     0.00003     0.00000     0.00000
     24  D1303            Drift                28.30000   7.80000    -0.85771   100.00000    28.28679     0.00003     0.00000     0.00000
     25  PI_13B5_XPITCH   Patch                28.30000   0.00000    -0.85771   100.00000    28.28679     0.00003     0.00000     0.00000
     26  PI_13B5_XOFF     Patch                28.30000   0.00000    -0.64933   100.00000    28.28678     0.00003     0.00000     0.00000
     27  M13B5            Sbend                31.30000   3.00000    -0.64924   100.00000    31.28678     0.00003     0.00000     0.00000
     28  PO_13B5_XOFF     Patch                31.30000   0.00000    -0.72198   100.00000    31.28679     0.00003     0.00000     0.00000
     29  PO_13B5_XPITCH   Patch                31.30000   0.00000    -0.72198   100.00000    31.28679     0.09039     0.00000     0.00000
     30  D1304            Drift                35.30000   4.00000    -0.36090   100.00000    35.27046     0.09039     0.00000     0.00000
     31  PI_13B6_XPITCH   Patch                35.30000   0.00000    -0.36090   100.00000    35.27046     0.00003     0.00000     0.00000
     32  PI_13B6_XOFF     Patch                35.30000   0.00000    -0.34911   100.00000    35.27046     0.00003     0.00000     0.00000
     33  M13B6            Sbend                38.30000   3.00000    -0.34902   100.00000    38.27046     0.00003     0.00000     0.00000
     34  PO_13B6_XOFF     Patch                38.30000   0.00000    -0.22517   100.00000    38.27045     0.00003     0.00000     0.00000
     35  PO_13B6_XPITCH   Patch                38.30000   0.00000    -0.22517   100.00000    38.27045     0.00003     0.00000     0.00000
     36  D1305#1          Drift                39.30000   1.00000    -0.22514   100.00000    39.27045     0.00003     0.00000     0.00000
     37  M13E             Sbend                42.30000   3.00000    -0.22505   100.00000    42.27045     0.00003     0.00000     0.00000
     38  D1305#2          Drift                56.30000  14.00000    -0.22460   100.00000    56.27045     0.00003     0.00000     0.00000
     39  PI_13B7_XPITCH   Patch                56.30000   0.00000    -0.22460   100.00000    56.27045     0.00003     0.00000     0.00000
     40  PI_13B7_XOFF     Patch                56.30000   0.00000    -0.34844   100.00000    56.27046     0.00003     0.00000     0.00000
     41  M13B7            Sbend                59.30000   3.00000    -0.34835   100.00000    59.27046     0.00003     0.00000     0.00000
     42  PO_13B7_XOFF     Patch                59.30000   0.00000    -0.36014   100.00000    59.27046     0.00003     0.00000     0.00000
     43  PO_13B7_XPITCH   Patch                59.30000   0.00000    -0.36014   100.00000    59.27046    -0.09033     0.00000     0.00000
     44  D1306            Drift                62.30000   3.00000    -0.63076   100.00000    62.25823    -0.09033     0.00000     0.00000
     45  PI_13B8_XPITCH   Patch                62.30000   0.00000    -0.63076   100.00000    62.25823     0.00003     0.00000     0.00000
     46  PI_13B8_XOFF     Patch                62.30000   0.00000    -0.64825   100.00000    62.25823     0.00003     0.00000     0.00000
     47  M13B8            Sbend                65.30000   3.00000    -0.64816   100.00000    65.25823     0.00003     0.00000     0.00000
     48  PO_13B8_XOFF     Patch                65.30000   0.00000    -0.76630   100.00000    65.25823     0.00003     0.00000     0.00000
     49  PO_13B8_XPITCH   Patch                65.30000   0.00000    -0.76630   100.00000    65.25823     0.00003     0.00000     0.00000
     50  D1307            Drift                68.30000   3.00000    -0.76620   100.00000    68.25823     0.00003     0.00000     0.00000
     51  PI_13B9_XPITCH   Patch                68.30000   0.00000    -0.76620   100.00000    68.25823     0.00003     0.00000     0.00000
     52  PI_13B9_XOFF     Patch                68.30000   0.00000    -0.64806   100.00000    68.25823     0.00003     0.00000     0.00000
     53  M13B9            Sbend                71.30000   3.00000    -0.64797   100.00000    71.25823     0.00003     0.00000     0.00000
     54  PO_13B9_XOFF     Patch                71.30000   0.00000    -0.63047   100.00000    71.25823     0.00003     0.00000     0.00000
     55  PO_13B9_XPITCH   Patch                71.30000   0.00000    -0.63047   100.00000    71.25823     0.09039     0.00000     0.00000
     56  D1308            Drift                76.54700   5.24700    -0.15683   100.00000    76.48380     0.09039     0.00000     0.00000
     57  PI_13B10_XPITCH  Patch                76.54700   0.00000    -0.15683   100.00000    76.48380     0.07139     0.00000     0.00000
     58  PI_13B10_XOFF    Patch                76.54700   0.00000    -0.35632   100.00000    76.49807     0.07139     0.00000     0.00000
     59  M13B10           Sbend                79.54700   3.00000    -0.14232   100.00000    79.49043     0.07139     0.00000     0.00000
     60  PO_13B10_XOFF    Patch                79.54700   0.00000    -0.02110   100.00000    79.48176     0.07139     0.00000     0.00000
     61  PO_13B10_XPITCH  Patch                79.54700   0.00000    -0.02110   100.00000    79.48176     0.00009     0.00000     0.00000
     62  D1309            Drift                95.00000  15.45300    -0.01966   100.00000    94.93476     0.00009     0.00000     0.00000
     63  END              Marker               95.00000   0.00000    -0.01966   100.00000    94.93476     0.00009     0.00000     0.00000
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
# Universe 3. Values shown are for the Exit End of each Element:
